index,id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_on_time,weight_category
0,1,D,Flight,4,2,177,3,low,F,44,1233,1,Below Medium
1,2,F,Flight,4,5,216,2,low,M,59,3088,1,Intermediate Weight
2,3,A,Flight,2,2,183,4,low,M,48,3374,1,Intermediate Weight
3,4,B,Flight,3,3,176,4,medium,M,10,1177,1,Below Medium
4,5,C,Flight,2,2,184,3,medium,F,46,2484,1,Medium Weight
5,6,F,Flight,3,1,162,3,medium,F,12,1417,1,Below Medium
6,7,D,Flight,3,4,250,3,low,F,3,2371,1,Medium Weight
7,8,F,Flight,4,1,233,2,low,F,48,2804,1,Medium Weight
8,9,A,Flight,3,4,150,3,low,F,11,1861,1,Medium Weight
9,10,B,Flight,3,2,164,3,medium,F,29,1187,1,Below Medium
10,11,C,Flight,3,4,189,2,medium,M,12,2888,1,Medium Weight
11,12,F,Flight,4,5,232,3,medium,F,32,3253,1,Intermediate Weight
12,13,D,Flight,3,5,198,3,medium,F,1,3667,1,Intermediate Weight
13,14,F,Flight,4,4,275,3,high,M,29,2602,1,Medium Weight
14,15,A,Flight,4,3,152,3,low,M,43,1009,1,Below Medium
15,16,B,Flight,4,3,227,3,low,F,45,2707,1,Medium Weight
16,17,C,Flight,3,4,143,2,medium,F,6,1194,1,Below Medium
17,18,F,Ship,5,5,227,3,medium,M,36,3952,1,Intermediate Weight
18,19,D,Ship,5,5,239,3,high,M,18,2495,1,Medium Weight
19,20,F,Ship,4,5,145,3,medium,M,45,1059,1,Below Medium
20,21,A,Ship,3,3,161,2,medium,F,38,1521,1,Medium Weight
21,22,B,Ship,3,1,232,4,medium,F,51,2899,1,Medium Weight
22,23,C,Ship,2,5,156,2,low,M,2,1750,1,Medium Weight
23,24,F,Ship,4,3,211,3,high,M,12,3922,1,Intermediate Weight
24,25,D,Ship,4,5,251,2,medium,F,28,3561,1,Intermediate Weight
25,26,F,Ship,3,1,225,4,low,M,29,3496,1,Intermediate Weight
26,27,A,Ship,4,1,172,3,high,F,24,1066,1,Below Medium
27,28,B,Ship,5,1,162,3,medium,M,31,1435,1,Below Medium
28,29,C,Ship,2,3,234,4,low,M,44,3134,1,Intermediate Weight
29,30,F,Ship,5,4,183,2,low,F,36,3819,1,Intermediate Weight
30,31,D,Ship,3,4,266,2,medium,F,38,2741,1,Medium Weight
31,32,F,Ship,5,3,257,2,low,F,61,3341,1,Intermediate Weight
32,33,A,Ship,3,1,223,3,low,F,22,3795,1,Intermediate Weight
33,34,B,Ship,4,2,234,3,medium,M,4,3261,1,Intermediate Weight
34,35,C,Ship,4,2,227,4,medium,F,22,2460,1,Medium Weight
35,36,F,Ship,5,4,149,3,medium,F,44,1811,1,Medium Weight
36,37,D,Ship,3,5,137,4,high,F,62,1477,1,Below Medium
37,38,F,Ship,2,4,181,6,medium,F,16,3605,1,Intermediate Weight
38,39,A,Ship,5,1,215,4,low,F,56,3905,1,Intermediate Weight
39,40,B,Ship,4,2,269,5,low,F,45,2383,1,Medium Weight
40,41,C,Ship,5,1,227,2,low,M,15,3798,1,Intermediate Weight
41,42,F,Ship,5,5,139,4,medium,M,61,1265,1,Below Medium
42,43,D,Ship,3,5,137,2,medium,M,38,1647,1,Medium Weight
43,44,F,Ship,3,1,174,2,low,M,44,1556,1,Medium Weight
